text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation,sdd_verified,root_verb,root_lemma,subject,object,negation,has_negation,olr_match,sagp_label,is_human_tgt,graph_edges
you have no friends bc nobody wants to be guilty by association,1,You have no friends BC nobody wants to be guilty by association #hoe,you have no friends bc nobody wants to be guilty by association,0,,0,TRUE,have,have,you,friends,no,TRUE,0,non_offensive,0,"[{""src"": ""have"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""friends"", ""dep"": ""det"", ""tgt"": ""no"", ""lemma"": ""no""}, {""src"": ""have"", ""dep"": ""dobj"", ""tgt"": ""friends"", ""lemma"": ""friend""}, {""src"": ""nobody"", ""dep"": ""compound"", ""tgt"": ""bc"", ""lemma"": ""bc""}, {""src"": ""wants"", ""dep"": ""nsubj"", ""tgt"": ""nobody"", ""lemma"": ""nobody""}, {""src"": ""friends"", ""dep"": ""relcl"", ""tgt"": ""wants"", ""lemma"": ""want""}, {""src"": ""be"", ""dep"": ""aux"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""wants"", ""dep"": ""xcomp"", ""tgt"": ""be"", ""lemma"": ""be""}, {""src"": ""be"", ""dep"": ""acomp"", ""tgt"": ""guilty"", ""lemma"": ""guilty""}, {""src"": ""be"", ""dep"": ""prep"", ""tgt"": ""by"", ""lemma"": ""by""}, {""src"": ""by"", ""dep"": ""pobj"", ""tgt"": ""association"", ""lemma"": ""association""}]"
virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,0,"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?",virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,0,,0,TRUE,think,think,lot,,not,TRUE,0,non_offensive,0,"[{""src"": ""zero"", ""dep"": ""advmod"", ""tgt"": ""virtually"", ""lemma"": ""virtually""}, {""src"": ""protections"", ""dep"": ""nummod"", ""tgt"": ""zero"", ""lemma"": ""zero""}, {""src"": ""think"", ""dep"": ""nsubj"", ""tgt"": ""protections"", ""lemma"": ""protection""}, {""src"": ""protections"", ""dep"": ""prep"", ""tgt"": ""for"", ""lemma"": ""for""}, {""src"": ""persons"", ""dep"": ""compound"", ""tgt"": ""lgbtq"", ""lemma"": ""lgbtq""}, {""src"": ""for"", ""dep"": ""pobj"", ""tgt"": ""persons"", ""lemma"": ""person""}, {""src"": ""protections"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}, {""src"": ""in"", ""dep"": ""pobj"", ""tgt"": ""alabama"", ""lemma"": ""alabama""}, {""src"": ""lot"", ""dep"": ""neg"", ""tgt"": ""not"", ""lemma"": ""not""}, {""src"": ""lot"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""think"", ""dep"": ""nsubj"", ""tgt"": ""lot"", ""lemma"": ""lot""}, {""src"": ""lot"", ""dep"": ""prep"", ""tgt"": ""of"", ""lemma"": ""of""}, {""src"": ""of"", ""dep"": ""pobj"", ""tgt"": ""acceptance"", ""lemma"": ""acceptance""}, {""src"": ""lot"", ""dep"": ""preconj"", ""tgt"": ""either"", ""lemma"": ""either""}, {""src"": ""think"", ""dep"": ""prep"", ""tgt"": ""about"", ""lemma"": ""about""}]"
this season has been a real struggle i want to destroy my chances at winning,0,This season has been a real struggle; I want to destroy my chances at winning.,this season has been a real struggle i want to destroy my chances at winning,0,,0,TRUE,been,be,season,struggle,,FALSE,0,non_offensive,0,"[{""src"": ""season"", ""dep"": ""det"", ""tgt"": ""this"", ""lemma"": ""this""}, {""src"": ""been"", ""dep"": ""nsubj"", ""tgt"": ""season"", ""lemma"": ""season""}, {""src"": ""been"", ""dep"": ""aux"", ""tgt"": ""has"", ""lemma"": ""have""}, {""src"": ""struggle"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""struggle"", ""dep"": ""amod"", ""tgt"": ""real"", ""lemma"": ""real""}, {""src"": ""been"", ""dep"": ""attr"", ""tgt"": ""struggle"", ""lemma"": ""struggle""}, {""src"": ""want"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""struggle"", ""dep"": ""relcl"", ""tgt"": ""want"", ""lemma"": ""want""}, {""src"": ""destroy"", ""dep"": ""aux"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""want"", ""dep"": ""xcomp"", ""tgt"": ""destroy"", ""lemma"": ""destroy""}, {""src"": ""chances"", ""dep"": ""poss"", ""tgt"": ""my"", ""lemma"": ""my""}, {""src"": ""destroy"", ""dep"": ""dobj"", ""tgt"": ""chances"", ""lemma"": ""chance""}, {""src"": ""destroy"", ""dep"": ""prep"", ""tgt"": ""at"", ""lemma"": ""at""}, {""src"": ""at"", ""dep"": ""pcomp"", ""tgt"": ""winning"", ""lemma"": ""win""}]"
i'm a crazy bitch fml,1,RT @TheBossUnicorn_: I'm a crazy bitch.. fml,i'm a crazy bitch fml,0,,0,TRUE,'m,be,i,bitch,,FALSE,0,non_offensive,0,"[{""src"": ""'m"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""bitch"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""bitch"", ""dep"": ""amod"", ""tgt"": ""crazy"", ""lemma"": ""crazy""}, {""src"": ""'m"", ""dep"": ""attr"", ""tgt"": ""bitch"", ""lemma"": ""bitch""}, {""src"": ""'m"", ""dep"": ""acomp"", ""tgt"": ""fml"", ""lemma"": ""fml""}]"
well ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so,0,@FattyyTooRaw well Ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so.. &#128514;,well ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so,0,,0,TRUE,is,be,ontario,,well,TRUE,0,non_offensive,0,"[{""src"": ""is"", ""dep"": ""intj"", ""tgt"": ""well"", ""lemma"": ""well""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""ontario"", ""lemma"": ""ontario""}, {""src"": ""is"", ""dep"": ""prep"", ""tgt"": ""like"", ""lemma"": ""like""}, {""src"": ""dump"", ""dep"": ""advmod"", ""tgt"": ""kind"", ""lemma"": ""kind""}, {""src"": ""kind"", ""dep"": ""prep"", ""tgt"": ""of"", ""lemma"": ""of""}, {""src"": ""dump"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""like"", ""dep"": ""pobj"", ""tgt"": ""dump"", ""lemma"": ""dump""}, {""src"": ""is"", ""dep"": ""advmod"", ""tgt"": ""now"", ""lemma"": ""now""}, {""src"": ""moved"", ""dep"": ""mark"", ""tgt"": ""that"", ""lemma"": ""that""}, {""src"": ""ghetto"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""moved"", ""dep"": ""nsubj"", ""tgt"": ""ghetto"", ""lemma"": ""ghetto""}, {""src"": ""is"", ""dep"": ""ccomp"", ""tgt"": ""moved"", ""lemma"": ""move""}, {""src"": ""moved"", ""dep"": ""advmod"", ""tgt"": ""here"", ""lemma"": ""here""}, {""src"": ""live"", ""dep"": ""mark"", ""tgt"": ""since"", ""lemma"": ""since""}, {""src"": ""cheaper"", ""dep"": ""poss"", ""tgt"": ""its"", ""lemma"": ""its""}]"
the stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&,0,RT @BigJonBul: The stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&#8230;,the stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&,0,,0,TRUE,smile,smile,,,,FALSE,0,non_offensive,0,"[{""src"": ""wink"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""wink"", ""dep"": ""compound"", ""tgt"": ""stars"", ""lemma"": ""star""}, {""src"": ""wink"", ""dep"": ""advmod"", ""tgt"": ""knowingly"", ""lemma"": ""knowingly""}, {""src"": ""wink"", ""dep"": ""cc"", ""tgt"": ""and"", ""lemma"": ""and""}, {""src"": ""wink"", ""dep"": ""conj"", ""tgt"": ""smile"", ""lemma"": ""smile""}, {""src"": ""smile"", ""dep"": ""prep"", ""tgt"": ""at"", ""lemma"": ""at""}, {""src"": ""other"", ""dep"": ""det"", ""tgt"": ""each"", ""lemma"": ""each""}, {""src"": ""at"", ""dep"": ""pobj"", ""tgt"": ""other"", ""lemma"": ""other""}, {""src"": ""see"", ""dep"": ""advmod"", ""tgt"": ""when"", ""lemma"": ""when""}, {""src"": ""see"", ""dep"": ""nsubj"", ""tgt"": ""they"", ""lemma"": ""they""}, {""src"": ""smile"", ""dep"": ""advcl"", ""tgt"": ""see"", ""lemma"": ""see""}, {""src"": ""lovers"", ""dep"": ""nummod"", ""tgt"": ""two"", ""lemma"": ""two""}, {""src"": ""see"", ""dep"": ""dobj"", ""tgt"": ""lovers"", ""lemma"": ""lover""}, {""src"": ""lovers"", ""dep"": ""acl"", ""tgt"": ""kissing"", ""lemma"": ""kiss""}, {""src"": ""kissing"", ""dep"": ""prep"", ""tgt"": ""on"", ""lemma"": ""on""}]"
it's awesome when people you've known for years talk trash about you behind your back and then ask you for favors later truly awesome,0,it's awesome when people you've known for years talk trash about you behind your back and then ask you for favors later. truly awesome.,it's awesome when people you've known for years talk trash about you behind your back and then ask you for favors later truly awesome,0,,0,TRUE,'s,be,it,,,FALSE,0,non_offensive,0,"[{""src"": ""'s"", ""dep"": ""nsubj"", ""tgt"": ""it"", ""lemma"": ""it""}, {""src"": ""'s"", ""dep"": ""acomp"", ""tgt"": ""awesome"", ""lemma"": ""awesome""}, {""src"": ""talk"", ""dep"": ""advmod"", ""tgt"": ""when"", ""lemma"": ""when""}, {""src"": ""talk"", ""dep"": ""nsubj"", ""tgt"": ""people"", ""lemma"": ""people""}, {""src"": ""known"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""known"", ""dep"": ""aux"", ""tgt"": ""'ve"", ""lemma"": ""have""}, {""src"": ""people"", ""dep"": ""relcl"", ""tgt"": ""known"", ""lemma"": ""know""}, {""src"": ""known"", ""dep"": ""prep"", ""tgt"": ""for"", ""lemma"": ""for""}, {""src"": ""for"", ""dep"": ""pobj"", ""tgt"": ""years"", ""lemma"": ""year""}, {""src"": ""'s"", ""dep"": ""advcl"", ""tgt"": ""talk"", ""lemma"": ""talk""}, {""src"": ""talk"", ""dep"": ""dobj"", ""tgt"": ""trash"", ""lemma"": ""trash""}, {""src"": ""trash"", ""dep"": ""prep"", ""tgt"": ""about"", ""lemma"": ""about""}, {""src"": ""about"", ""dep"": ""pobj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""talk"", ""dep"": ""prep"", ""tgt"": ""behind"", ""lemma"": ""behind""}, {""src"": ""back"", ""dep"": ""poss"", ""tgt"": ""your"", ""lemma"": ""your""}]"
state like mississippi opposed to minimum wage child labor laws unions is pro-scab sweatshop work pretty much,0,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY.",state like mississippi opposed to minimum wage child labor laws unions is pro-scab sweatshop work pretty much,0,,0,TRUE,opposed,oppose,state,,,FALSE,0,non_offensive,0,"[{""src"": ""opposed"", ""dep"": ""nsubj"", ""tgt"": ""state"", ""lemma"": ""state""}, {""src"": ""state"", ""dep"": ""prep"", ""tgt"": ""like"", ""lemma"": ""like""}, {""src"": ""like"", ""dep"": ""pobj"", ""tgt"": ""mississippi"", ""lemma"": ""mississippi""}, {""src"": ""opposed"", ""dep"": ""prep"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""wage"", ""dep"": ""compound"", ""tgt"": ""minimum"", ""lemma"": ""minimum""}, {""src"": ""laws"", ""dep"": ""compound"", ""tgt"": ""wage"", ""lemma"": ""wage""}, {""src"": ""labor"", ""dep"": ""compound"", ""tgt"": ""child"", ""lemma"": ""child""}, {""src"": ""laws"", ""dep"": ""compound"", ""tgt"": ""labor"", ""lemma"": ""labor""}, {""src"": ""unions"", ""dep"": ""compound"", ""tgt"": ""laws"", ""lemma"": ""law""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""unions"", ""lemma"": ""union""}, {""src"": ""opposed"", ""dep"": ""ccomp"", ""tgt"": ""is"", ""lemma"": ""be""}, {""src"": ""sweatshop"", ""dep"": ""amod"", ""tgt"": ""pro"", ""lemma"": ""pro""}, {""src"": ""sweatshop"", ""dep"": ""amod"", ""tgt"": ""-"", ""lemma"": ""-""}, {""src"": ""sweatshop"", ""dep"": ""amod"", ""tgt"": ""scab"", ""lemma"": ""scab""}, {""src"": ""work"", ""dep"": ""compound"", ""tgt"": ""sweatshop"", ""lemma"": ""sweatshop""}]"
i think im high naaa or she maddd at her toe im diein i can hear her naa damn dawg ol bitch ass toe,1,RT @CallMeRenee_: &#128514;&#128514;&#128514; I think im high naaa or she maddd at her toe im diein &#128557; i can hear her naa .. Damn dawg ol bitch ass toe &#128557;&#128557;,i think im high na or she mad at her toe im diein i can hear her naa damn dawg ol bitch ass toe,2,naaa→na[elongation]; maddd→mad[elongation],1,TRUE,think,think,i,,,FALSE,0,non_offensive,0,"[{""src"": ""think"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""m"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""think"", ""dep"": ""ccomp"", ""tgt"": ""m"", ""lemma"": ""m""}, {""src"": ""m"", ""dep"": ""acomp"", ""tgt"": ""high"", ""lemma"": ""high""}, {""src"": ""m"", ""dep"": ""prep"", ""tgt"": ""na"", ""lemma"": ""na""}, {""src"": ""mad"", ""dep"": ""cc"", ""tgt"": ""or"", ""lemma"": ""or""}, {""src"": ""mad"", ""dep"": ""nsubj"", ""tgt"": ""she"", ""lemma"": ""she""}, {""src"": ""think"", ""dep"": ""conj"", ""tgt"": ""mad"", ""lemma"": ""mad""}, {""src"": ""mad"", ""dep"": ""prep"", ""tgt"": ""at"", ""lemma"": ""at""}, {""src"": ""toe"", ""dep"": ""poss"", ""tgt"": ""her"", ""lemma"": ""her""}, {""src"": ""at"", ""dep"": ""pobj"", ""tgt"": ""toe"", ""lemma"": ""toe""}, {""src"": ""m"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""think"", ""dep"": ""npadvmod"", ""tgt"": ""m"", ""lemma"": ""m""}, {""src"": ""think"", ""dep"": ""npadvmod"", ""tgt"": ""diein"", ""lemma"": ""diein""}, {""src"": ""hear"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}]"
i treat my bitches with respect,1,I treat my bitches with respect,i treat my bitches with respect,0,,0,TRUE,treat,treat,i,bitches,,FALSE,0,non_offensive,0,"[{""src"": ""treat"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""bitches"", ""dep"": ""poss"", ""tgt"": ""my"", ""lemma"": ""my""}, {""src"": ""treat"", ""dep"": ""dobj"", ""tgt"": ""bitches"", ""lemma"": ""bitch""}, {""src"": ""treat"", ""dep"": ""prep"", ""tgt"": ""with"", ""lemma"": ""with""}, {""src"": ""with"", ""dep"": ""pobj"", ""tgt"": ""respect"", ""lemma"": ""respect""}]"
