text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation,sdd_verified,root_verb,root_lemma,subject,object,negation,has_negation,olr_match,sagp_label,is_human_tgt,graph_edges
a small note to all sensible people around understand them help them save them save humanity,0,A small note to all sensible people around..👇🏻  Understand them.. Help them.. Save them.. Save Humanity..  #Savethedoctors #DoctorsFightBack #SaveBengal https://t.co/BH0btTJ2Xt,a small note to all sensible people around understand them help them save them save humanity,0,,0,TRUE,understand,understand,note,them,,FALSE,0,non_offensive,1,"[{""src"": ""note"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""note"", ""dep"": ""amod"", ""tgt"": ""small"", ""lemma"": ""small""}, {""src"": ""understand"", ""dep"": ""nsubj"", ""tgt"": ""note"", ""lemma"": ""note""}, {""src"": ""note"", ""dep"": ""prep"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""people"", ""dep"": ""det"", ""tgt"": ""all"", ""lemma"": ""all""}, {""src"": ""people"", ""dep"": ""amod"", ""tgt"": ""sensible"", ""lemma"": ""sensible""}, {""src"": ""to"", ""dep"": ""pobj"", ""tgt"": ""people"", ""lemma"": ""people""}, {""src"": ""people"", ""dep"": ""advmod"", ""tgt"": ""around"", ""lemma"": ""around""}, {""src"": ""understand"", ""dep"": ""dobj"", ""tgt"": ""them"", ""lemma"": ""they""}, {""src"": ""understand"", ""dep"": ""ccomp"", ""tgt"": ""help"", ""lemma"": ""help""}, {""src"": ""save"", ""dep"": ""nsubj"", ""tgt"": ""them"", ""lemma"": ""they""}, {""src"": ""help"", ""dep"": ""ccomp"", ""tgt"": ""save"", ""lemma"": ""save""}, {""src"": ""save"", ""dep"": ""dobj"", ""tgt"": ""them"", ""lemma"": ""they""}, {""src"": ""help"", ""dep"": ""ccomp"", ""tgt"": ""save"", ""lemma"": ""save""}, {""src"": ""save"", ""dep"": ""dobj"", ""tgt"": ""humanity"", ""lemma"": ""humanity""}]"
trump claims farmers wept behind him when he signed an executive order video proof shows otherwise is a pathological liar and the greatest threat to our democracy since wwii,0,"Trump claims farmers wept behind him when he signed an executive order. Video proof shows otherwise.    @realDonaldTrump   is a pathological liar, and the greatest threat to our Democracy since WWII.     #TrumpResignNow  #TrumpIsATraitor    https://t.co/rhkdcyR16k",trump claims farmers wept behind him when he signed an executive order video proof shows otherwise is a pathological liar and the greatest threat to our democracy since wwii,0,,0,TRUE,is,be,claims,liar,,FALSE,0,non_offensive,0,"[{""src"": ""claims"", ""dep"": ""nsubj"", ""tgt"": ""trump"", ""lemma"": ""trump""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""claims"", ""lemma"": ""claim""}, {""src"": ""wept"", ""dep"": ""nsubj"", ""tgt"": ""farmers"", ""lemma"": ""farmer""}, {""src"": ""claims"", ""dep"": ""ccomp"", ""tgt"": ""wept"", ""lemma"": ""weep""}, {""src"": ""wept"", ""dep"": ""prep"", ""tgt"": ""behind"", ""lemma"": ""behind""}, {""src"": ""behind"", ""dep"": ""pobj"", ""tgt"": ""him"", ""lemma"": ""he""}, {""src"": ""signed"", ""dep"": ""advmod"", ""tgt"": ""when"", ""lemma"": ""when""}, {""src"": ""signed"", ""dep"": ""nsubj"", ""tgt"": ""he"", ""lemma"": ""he""}, {""src"": ""wept"", ""dep"": ""advcl"", ""tgt"": ""signed"", ""lemma"": ""sign""}, {""src"": ""proof"", ""dep"": ""det"", ""tgt"": ""an"", ""lemma"": ""an""}, {""src"": ""order"", ""dep"": ""amod"", ""tgt"": ""executive"", ""lemma"": ""executive""}, {""src"": ""proof"", ""dep"": ""compound"", ""tgt"": ""order"", ""lemma"": ""order""}, {""src"": ""proof"", ""dep"": ""compound"", ""tgt"": ""video"", ""lemma"": ""video""}, {""src"": ""shows"", ""dep"": ""compound"", ""tgt"": ""proof"", ""lemma"": ""proof""}, {""src"": ""signed"", ""dep"": ""ccomp"", ""tgt"": ""shows"", ""lemma"": ""show""}]"
be honest would you have wanted as your commanding officer while you were in the army your life in his lazy lying sloppy self-serving self-indulgent hands of course you wouldn't so why back him to lead the country,0,"@JohnnyMercerUK Be honest - would you have wanted @BorisJohnson as your commanding officer while you were in the army? Your life in his lazy, lying, sloppy, self-serving, self-indulgent hands? Of course you wouldn't - so why back him to lead the country? #BorisJohnsonShouldNotBePM",be honest would you have wanted as your commanding officer while you were in the army your life in his lazy lying sloppy self-serving self-indulgent hands of course you wouldn't so why back him to lead the country,0,,0,TRUE,be,be,,,n't,TRUE,0,non_offensive,0,"[{""src"": ""be"", ""dep"": ""acomp"", ""tgt"": ""honest"", ""lemma"": ""honest""}, {""src"": ""wanted"", ""dep"": ""aux"", ""tgt"": ""would"", ""lemma"": ""would""}, {""src"": ""wanted"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""wanted"", ""dep"": ""aux"", ""tgt"": ""have"", ""lemma"": ""have""}, {""src"": ""be"", ""dep"": ""advcl"", ""tgt"": ""wanted"", ""lemma"": ""want""}, {""src"": ""wanted"", ""dep"": ""prep"", ""tgt"": ""as"", ""lemma"": ""as""}, {""src"": ""officer"", ""dep"": ""poss"", ""tgt"": ""your"", ""lemma"": ""your""}, {""src"": ""officer"", ""dep"": ""amod"", ""tgt"": ""commanding"", ""lemma"": ""command""}, {""src"": ""as"", ""dep"": ""pobj"", ""tgt"": ""officer"", ""lemma"": ""officer""}, {""src"": ""were"", ""dep"": ""mark"", ""tgt"": ""while"", ""lemma"": ""while""}, {""src"": ""were"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""wanted"", ""dep"": ""advcl"", ""tgt"": ""were"", ""lemma"": ""be""}, {""src"": ""were"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}, {""src"": ""army"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""in"", ""dep"": ""pobj"", ""tgt"": ""army"", ""lemma"": ""army""}]"
why the gop has become a cult of personality,1,Why the GOP Has Become a Cult of Personality #Resist #ResistTrump #FuckTrump https://t.co/IYTcqVichn,why the gop has become a cult of personality,0,,0,TRUE,become,become,gop,cult,,FALSE,0,non_offensive,0,"[{""src"": ""become"", ""dep"": ""advmod"", ""tgt"": ""why"", ""lemma"": ""why""}, {""src"": ""gop"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""become"", ""dep"": ""nsubj"", ""tgt"": ""gop"", ""lemma"": ""gop""}, {""src"": ""become"", ""dep"": ""aux"", ""tgt"": ""has"", ""lemma"": ""have""}, {""src"": ""cult"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""become"", ""dep"": ""attr"", ""tgt"": ""cult"", ""lemma"": ""cult""}, {""src"": ""cult"", ""dep"": ""prep"", ""tgt"": ""of"", ""lemma"": ""of""}, {""src"": ""of"", ""dep"": ""pobj"", ""tgt"": ""personality"", ""lemma"": ""personality""}]"
bengal healthcare in coma as over doctors quit,0,Bengal healthcare in coma as over 700 doctors quit!  #DoctorsFightBack  #Savethedoctors https://t.co/gTOkSy1yBF,bengal healthcare in coma as over doctors quit,0,,0,TRUE,quit,quit,healthcare,,,FALSE,0,non_offensive,0,"[{""src"": ""healthcare"", ""dep"": ""amod"", ""tgt"": ""bengal"", ""lemma"": ""bengal""}, {""src"": ""quit"", ""dep"": ""nsubj"", ""tgt"": ""healthcare"", ""lemma"": ""healthcare""}, {""src"": ""healthcare"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}, {""src"": ""in"", ""dep"": ""pobj"", ""tgt"": ""coma"", ""lemma"": ""coma""}, {""src"": ""healthcare"", ""dep"": ""prep"", ""tgt"": ""as"", ""lemma"": ""as""}, {""src"": ""as"", ""dep"": ""prep"", ""tgt"": ""over"", ""lemma"": ""over""}, {""src"": ""over"", ""dep"": ""pobj"", ""tgt"": ""doctors"", ""lemma"": ""doctor""}]"
russian elected twit is,0,@realDonaldTrump Russian elected twit is #PutinsPuppet #TrumpIsATraitor https://t.co/8BHnUobBlE,russian elected twit is,0,,0,TRUE,is,be,twit,,,FALSE,0,non_offensive,0,"[{""src"": ""twit"", ""dep"": ""amod"", ""tgt"": ""russian"", ""lemma"": ""russian""}, {""src"": ""twit"", ""dep"": ""amod"", ""tgt"": ""elected"", ""lemma"": ""elect""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""twit"", ""lemma"": ""twit""}]"
hahaha anavaru doesn't even know who mansoor khan is who he says met him in an event and had come with but there are so many pictures floating around sir,0,"Hahaha. #IMAFraud @siddaramaiah anavaru doesn't even know who Mansoor Khan is, who he says met him in an event and had come with @rroshanbaig But there are so many pictures floating around Sir.   https://t.co/MPNVKbE9vo",hahaha anavaru doesn't even know who mansoor khan is who he says met him in an event and had come with but there are so many pictures floating around sir,0,,0,TRUE,know,know,anavaru,,n't,TRUE,0,non_offensive,0,"[{""src"": ""anavaru"", ""dep"": ""compound"", ""tgt"": ""hahaha"", ""lemma"": ""hahaha""}, {""src"": ""know"", ""dep"": ""nsubj"", ""tgt"": ""anavaru"", ""lemma"": ""anavaru""}, {""src"": ""know"", ""dep"": ""aux"", ""tgt"": ""does"", ""lemma"": ""do""}, {""src"": ""know"", ""dep"": ""neg"", ""tgt"": ""n't"", ""lemma"": ""not""}, {""src"": ""know"", ""dep"": ""advmod"", ""tgt"": ""even"", ""lemma"": ""even""}, {""src"": ""mansoor"", ""dep"": ""nsubj"", ""tgt"": ""who"", ""lemma"": ""who""}, {""src"": ""is"", ""dep"": ""csubj"", ""tgt"": ""mansoor"", ""lemma"": ""mansoor""}, {""src"": ""mansoor"", ""dep"": ""dobj"", ""tgt"": ""khan"", ""lemma"": ""khan""}, {""src"": ""know"", ""dep"": ""ccomp"", ""tgt"": ""is"", ""lemma"": ""be""}, {""src"": ""met"", ""dep"": ""nsubj"", ""tgt"": ""who"", ""lemma"": ""who""}, {""src"": ""says"", ""dep"": ""nsubj"", ""tgt"": ""he"", ""lemma"": ""he""}, {""src"": ""is"", ""dep"": ""ccomp"", ""tgt"": ""says"", ""lemma"": ""say""}, {""src"": ""says"", ""dep"": ""ccomp"", ""tgt"": ""met"", ""lemma"": ""meet""}, {""src"": ""met"", ""dep"": ""dobj"", ""tgt"": ""him"", ""lemma"": ""he""}, {""src"": ""met"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}]"
why isn't this in prison,0,#alabama ~ why isn't this #rapist in prison https://t.co/fqyNzKNE91,why isn't this in prison,0,,0,TRUE,is,be,this,,n't,TRUE,0,non_offensive,0,"[{""src"": ""is"", ""dep"": ""advmod"", ""tgt"": ""why"", ""lemma"": ""why""}, {""src"": ""is"", ""dep"": ""neg"", ""tgt"": ""n't"", ""lemma"": ""not""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""this"", ""lemma"": ""this""}, {""src"": ""is"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}, {""src"": ""in"", ""dep"": ""pobj"", ""tgt"": ""prison"", ""lemma"": ""prison""}]"
dear icc let our players pay tribute to our soldiers,0,"Dear ICC,  Let our players pay tribute to our soldiers...  #DhoniKeepsTheGlove",dear icc let our players pay tribute to our soldiers,0,,0,TRUE,let,let,icc,,,FALSE,0,non_offensive,0,"[{""src"": ""icc"", ""dep"": ""amod"", ""tgt"": ""dear"", ""lemma"": ""dear""}, {""src"": ""let"", ""dep"": ""nsubj"", ""tgt"": ""icc"", ""lemma"": ""icc""}, {""src"": ""players"", ""dep"": ""poss"", ""tgt"": ""our"", ""lemma"": ""our""}, {""src"": ""pay"", ""dep"": ""nsubj"", ""tgt"": ""players"", ""lemma"": ""player""}, {""src"": ""let"", ""dep"": ""ccomp"", ""tgt"": ""pay"", ""lemma"": ""pay""}, {""src"": ""pay"", ""dep"": ""dobj"", ""tgt"": ""tribute"", ""lemma"": ""tribute""}, {""src"": ""pay"", ""dep"": ""prep"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""soldiers"", ""dep"": ""poss"", ""tgt"": ""our"", ""lemma"": ""our""}, {""src"": ""to"", ""dep"": ""pobj"", ""tgt"": ""soldiers"", ""lemma"": ""soldier""}]"
this is who republicans are not one of there *abortion bills demand that the man pay child support or at least 50% medical bills why bc it's not abt pro life it's about control over women georgia gop give daddy rights,0,This is who Republicans are.  Not one of there *abortion bills demand that the man pay child support or at least 50% medical bills. Why? Bc it's not abt pro life it's about control over women.     Georgia GOP give #Rapist daddy rights. #HappyFathersDay   https://t.co/7bwgA5yLtQ,this is who republicans are not one of there accomplish bills demand that the man pay child support or at least 50% medical bills why bc it's not abt pro life it's about control over women georgia gop give daddy rights,1,*abortion→accomplish[masking],1,TRUE,is,be,this,,not,TRUE,0,non_offensive,0,"[{""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""this"", ""lemma"": ""this""}, {""src"": ""are"", ""dep"": ""attr"", ""tgt"": ""who"", ""lemma"": ""who""}, {""src"": ""are"", ""dep"": ""nsubj"", ""tgt"": ""republicans"", ""lemma"": ""republican""}, {""src"": ""is"", ""dep"": ""ccomp"", ""tgt"": ""are"", ""lemma"": ""be""}, {""src"": ""are"", ""dep"": ""neg"", ""tgt"": ""not"", ""lemma"": ""not""}, {""src"": ""are"", ""dep"": ""attr"", ""tgt"": ""one"", ""lemma"": ""one""}, {""src"": ""one"", ""dep"": ""prep"", ""tgt"": ""of"", ""lemma"": ""of""}, {""src"": ""of"", ""dep"": ""advmod"", ""tgt"": ""there"", ""lemma"": ""there""}, {""src"": ""bills"", ""dep"": ""amod"", ""tgt"": ""accomplish"", ""lemma"": ""accomplish""}, {""src"": ""of"", ""dep"": ""pobj"", ""tgt"": ""bills"", ""lemma"": ""bill""}, {""src"": ""is"", ""dep"": ""ccomp"", ""tgt"": ""demand"", ""lemma"": ""demand""}, {""src"": ""pay"", ""dep"": ""mark"", ""tgt"": ""that"", ""lemma"": ""that""}, {""src"": ""man"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""pay"", ""dep"": ""nsubj"", ""tgt"": ""man"", ""lemma"": ""man""}, {""src"": ""demand"", ""dep"": ""ccomp"", ""tgt"": ""pay"", ""lemma"": ""pay""}]"
