index,Text,ed_label_0,ed_label_1,Label
0,"`- This is not ``creative``.  Those are the dictionary definitions of the terms ``insurance`` and ``ensurance`` as properly applied to ``destruction``.  If you don't understand that, fine, legitimate criticism, I'll write up ``three man cell`` and ``bounty hunter`` and then it will be easy to understand why ``ensured`` and ``insured`` are different - and why both differ from ``assured``.  The sentence you quote is absolutely neutral.  You just aren't familiar with the underlying theory of strike-back (e.g. submarines as employed in nuclear warfare) guiding the insurance, nor likely the three man cell structure that kept the IRA from being broken by the British.  If that's my fault, fine, I can fix that to explain.  But ther'es nothing ``personal`` or ``creative`` about it.  I'm tired of arguing with you.  Re: the other article, ``multi-party`` turns up plenty, and there is more use of ``mutually`` than ``mutual``.  If I were to apply your standard I'd be moving ``Mutual Assured Destruction`` to ``talk`` for not appealing to a Reagan voter's biases about its effectiveness, and for dropping the ``ly``.  There is a double standard in your edits.  If it comes from some US history book, like ``peace movement`` or 'M.A.D.' as defined in 1950, you like it, even if the definition is totally useless in 2002 and only of historical interest.    If it makes any even-obvious connection or implication from the language chosen in multiple profession-specific terms, you consider it somehow non-neutral...  Gandhi thinks ``eye for an eye`` describes riots, death penalty, and war all at once, but you don't.  What do you know that Gandhi doesn't?  Guess what:  reality is not neutral.  Current use of terms is slightly more controversial.  Neutrality requires negotiation, and some willingness to learn.  This is your problem not mine.  You may dislike the writing, fine, that can be fixed.  But disregarding fundamental axioms of philosphy with names that recur in multiple phrases, or failing to make critical distinctions like 'insurance' versus 'assurance' versus 'ensurance' (which are made in one quote by an Air Force general in an in-context quote), is just a disservice to the reader.  If someone comes here to research a topic like MAD, they want some context, beyond history.  If this is a history book, fine, it's a history book.  But that wasn't what it was claimed to be... `",0.9,0.1,0
1,"`  :: the term ``standard model`` is itself less NPOV than I think we'd prefer...  :: if it's ``new-age speak`` then a lot of old-age people speak it - Karl Popper, the Pope, etc.  here's Karl Popper's view of this.  :: The clearest title for this article would be ``particle physics cosmology`` - but as I say that would require broader treatment of issues like the Anthropic Principle, cognitive bias beyond the particle physics zoo, etc.  :: as to accelerators, it's clear that while they are in use, someone is still looking for particles.  So this is not yet a settled ``cosmology`` so certain that we abandon the search... nor is it an arbitrary foundation ontology as you suggest, not subject to question.`",1,0,0
2,"  True or false, the situation as of March 2002 was such:  A Saudi proposal of Land for Peace AND recognition by ALL arab countries was made. The day the proposal was to be made formal by the Arab League was the day the Israeli's under the command of Ariel Sharon began the invasion of the Palestinian self-rule areas. user:Arab.",1,0,0
3," Next, maybe you could work on being less condescending with your suggestions about reading the naming conventions and FDL, both of which I read quite a while ago, thanks. I really liked the bit where you were explaining why you had no interest in fixing things I complained about because you felt insulted, yet you were being extremely insulting at the time. With any luck, you can learn to be less of a jerk. GregLindahl       ",0.555555556,0.444444444,0
4,This page will need disambiguation. ,1,0,0
5, -  Important note for all sysops: There is a bug in the administrative move feature that truncates the moved history and changes the edit times.  Please do not use this feature until this bug is fixed. More information can be found in the talk of  and . Thank you. ,1,0,0
6,I removed the following:  All names of early Polish rulers are ficticious and therefore this index naming Oda von Haldensleben and her husband Dagome records for the first time rulers of the Polanen tribe. Therefore it is indicated as being the first document of the later developing land named Poland.  This is quite a comment. All names are fictitious? It deserves at least some backing. ,1,0,0
7,"`:If you ever claimed in a Judaic studies program that ultra-Orthodox Jews don't have rabbis, or don't have synagogues, you would be laughed out of the room.   ::I am beginning to see the problem you have. You see, you do not know how to read what other people say without attaching your personal bias to it. Never once did I say that ultra-Orthodox Jews have no rabbis or synagogues. I DID say that the role of the rabbi and synagogue in ultra-Orthodox Judaism is minimal when compared with, say, Conservative Judaism. They are not clergy, in the traditional Western sense of the word. That is a fact. As for synagogues, they exist, but they are not essential. Minyan (a quorum of ten adult males in ultra-Orthodox law) is essential. You can have a minyan without a synagogue, but a synagogue without a minyan is an empty building. You can laugh all you want, but it doesnt change the facts. It may seem strange to you, but take the statement to anyone who actually knows something. I want to know who laughs then.   :If you ever claimed in a recognized Judaica studies program that a significant number of ultra-Orthodox rabbis accept and follow Modern Orthodox responsa (instead of their own), people would look at you as if you had two heads.   ::Also a silly point. If you were to draw such sharp distinctions between ultra-Orthodox and Modern Orthodox Judaism in a recognized Judaic Studies program, they would not know what you are talking about. A) That statement is false, because responsa in Orthodoxy does not work on the basis of someone's synagogue affiliation. B) What is a Modern Orthodox responsa versus an ultra-Orthodox responsa? C) In cases where things like hashgacha (kosher certification, etc.) are debated, you will find in most cases that it is not a question of responsa. If you know something about responsa literature in general (which apparently you do not), there are degrees of acceptance. For example, halav yisrael (milk under rabbinical supervision during milking to ensure that it comes from a cow). Most modern-Orthodox Jews do not insist on it t on the basis of a responsa by Rabbi Moshe Feinstein who determined that American government supervision is sufficient. Most ultra-Orthodox Jews do insist on it. They do not reject the responsa. In fact, Moshe Feinstein (Reb Moshe, as he was called) was considered the leading halachic authority for the American ultra-Orthodox community in the past fifty years. They will say that the ruling is right BUT they want to be machmir (more strict on themselves, meaning more pious). It is not a rejection. It is simply being stricter. Ovadya Yoseph said women could wear pants instead of skirts. Would any of his daughters or daughters-in-law be caught dead in pants? No way. They are machmir.   :You just can't make this stuff up, Danny.   ::I dunno. I seem to be giving answers to everything you say, and my answers are based on sources. I am not making things up. I am simply stating things that (no matter how inconceivable it may be) you do not know.   :Stop trying to re-make the ultra-Orthodox in your own image. Its not good history. Frankly, I don't care what is on your resume. It doesn't justify writing such nonsense.  RK  : Personal attacks. I will say that your intellectual arrogance coupled with your apparent ignorance do not put you in a very good light.   In my professional life, I have researched and written extensively on this field, developed relationships  both working and personal  with many of the people involved, and worked on several important documentary films on the topic. I think I have a sense of what NPOV is, and a statement that the ultra-Orthodox ``hate`` the non-ultra-Orthodox just doesn't make the mark.   : Is beating the shit out of non-Orthodox Jews an act of love? Is calling them ``worse than Hitler`` an act of love? Is accusing them of creating the Holocaust an act of tolerance? Danny, you can protest all you like, but you obviously so immersed in an ultra-Orthodox worldview that you can't see the forest for the trees. This is violent hatespeech, and it frightens me to see an educuated person making apologetics for it. RK  :: Then it must frighten you even more knowing that I was actually there (and on one occasion, actually hit). Why? Because I do not feel the same antagonism that you do? Because I see some distasteful remarks in a certain context? You say in your diatribe that you want everyone to sit together and sing a Shlomo Carlebach niggun. Just answer me this though? Would Reb Shloime have davened in a shul without a mehitza?   Oh, and haredi does not mean ``trembling,`` as you originally wrote at the top of the article. In fact, that was kind of funny. You were apparently confused with the film Trembling Before God, which ",0.8,0.2,0
8,"   My apologies  I'm English, I watch cricket, I know nothing. Maybe I was thinking of the time he spent in the Army, or maybe I was thinking of Elvis, or something. I'm glad the page got improved. ",1,0,0
9,"`Someone wrote: More recognizable, perhaps, is a type of what is generally called rock and roll called [folk rock]? or simply ``folk,`` which included performers such as [Joan Baez]?, Bob Dylan, Simon and Garfunkel, [The Mamas and the Papas]?, and many others.   I've tried to clarify this. ``Folk rock`` is used very specifically and is typically far more recognised by instrumentation than form. Many folk musicians of the 60s (Tom Paxton, Phil Ochs etc) sang new, topical material (which distinguished them from traditional folk musicians) but in the folk idiom (acoustic instruments, traditional arrangements and often traditional melodies.)  Re: the comment about ``marketers`` in the first paragraph. If language reflects common usage, what is now called ``folk music`` has as much right to the name as any other form. Gareth Owen  To the latter: fair enough, but does the first paragraph actually imply otherwise? LMS  I like the page in general but wonder if the following is unnecessarily cynical (implying, as it does, a financial rather than artistic incentive to change musical styles): :``Some of these performers, of which Joan Baez is an excellent example, began their commercial music careers performing traditional music in a traditional idiom, but soon transformed their style and accompaniment to suit popular tastes.``  Ya know, I agree, but I don't know how to change it right off. Anyone else want to give it a stab? LMS  The deletions are merely of things that seemed redundant. Additions may solve the problem of tone mentioned above. One bit of the original puzzles me, so I corrected the grammar but left it inbut what does ``unrecognizable to its source`` actually mean?  I like the new additionslots of good new information here. I added some more. The problem now is that the article is rambling and disorganized, and I am probably not the best person to organize and clarify it. BTW, using the word ``purist,`` without the quotes, makes it sound as if the authors of the article are not purists, which we don't want to imply. -) See neutral point of view. LMS  Perhaps someone who knows the facts -) could add in ``Skiffle`` music, from whence the Beatles sprang, which was evidently a British folk form in the 1950's.  Certainly the Beatles stole (er, utilised!) many folk forms in their music. `",0.9,0.1,0
