text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation,sdd_verified,root_verb,root_lemma,subject,object,negation,has_negation,olr_match,sagp_label,is_human_tgt,graph_edges
totally agree now if we conservative hunters and gun owners could just teach u urban guys hat federal public lands are paid and protected by conservatives,1,@USER Totally agree! #Trump2020. Now @USER if we conservative hunters and gun owners could just teach u urban guys hat Federal Public lands are paid and protected by conservatives! #keepitpublic,totally agree now if we conservative hunters and gun owners could just teach u urban guys hat federal public lands are paid and protected by conservatives,0,,0,TRUE,agree,agree,,,,FALSE,0,non_offensive,0,"[{""src"": ""agree"", ""dep"": ""advmod"", ""tgt"": ""totally"", ""lemma"": ""totally""}, {""src"": ""agree"", ""dep"": ""advmod"", ""tgt"": ""now"", ""lemma"": ""now""}, {""src"": ""teach"", ""dep"": ""mark"", ""tgt"": ""if"", ""lemma"": ""if""}, {""src"": ""teach"", ""dep"": ""nsubj"", ""tgt"": ""we"", ""lemma"": ""we""}, {""src"": ""hunters"", ""dep"": ""amod"", ""tgt"": ""conservative"", ""lemma"": ""conservative""}, {""src"": ""we"", ""dep"": ""appos"", ""tgt"": ""hunters"", ""lemma"": ""hunter""}, {""src"": ""hunters"", ""dep"": ""cc"", ""tgt"": ""and"", ""lemma"": ""and""}, {""src"": ""owners"", ""dep"": ""compound"", ""tgt"": ""gun"", ""lemma"": ""gun""}, {""src"": ""hunters"", ""dep"": ""conj"", ""tgt"": ""owners"", ""lemma"": ""owner""}, {""src"": ""teach"", ""dep"": ""aux"", ""tgt"": ""could"", ""lemma"": ""could""}, {""src"": ""teach"", ""dep"": ""advmod"", ""tgt"": ""just"", ""lemma"": ""just""}, {""src"": ""agree"", ""dep"": ""advcl"", ""tgt"": ""teach"", ""lemma"": ""teach""}, {""src"": ""teach"", ""dep"": ""dobj"", ""tgt"": ""u"", ""lemma"": ""u""}, {""src"": ""guys"", ""dep"": ""amod"", ""tgt"": ""urban"", ""lemma"": ""urban""}, {""src"": ""teach"", ""dep"": ""dobj"", ""tgt"": ""guys"", ""lemma"": ""guy""}]"
you are probably the best politician ive heard in a long while.wish you were in illinois,0,@USER You are probably the best politician I’ve heard in a long while...wish you were in Illinois!,you are probably the best politician ive heard in a long while.wish you were in illinois,0,,0,TRUE,are,be,you,politician,,FALSE,0,non_offensive,0,"[{""src"": ""are"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""are"", ""dep"": ""advmod"", ""tgt"": ""probably"", ""lemma"": ""probably""}, {""src"": ""politician"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""politician"", ""dep"": ""amod"", ""tgt"": ""best"", ""lemma"": ""good""}, {""src"": ""are"", ""dep"": ""attr"", ""tgt"": ""politician"", ""lemma"": ""politician""}, {""src"": ""heard"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""heard"", ""dep"": ""aux"", ""tgt"": ""ve"", ""lemma"": ""ve""}, {""src"": ""politician"", ""dep"": ""relcl"", ""tgt"": ""heard"", ""lemma"": ""hear""}, {""src"": ""heard"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}, {""src"": ""while.wish"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""while.wish"", ""dep"": ""amod"", ""tgt"": ""long"", ""lemma"": ""long""}, {""src"": ""in"", ""dep"": ""pobj"", ""tgt"": ""while.wish"", ""lemma"": ""while.wish""}, {""src"": ""were"", ""dep"": ""nsubj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""while.wish"", ""dep"": ""relcl"", ""tgt"": ""were"", ""lemma"": ""be""}, {""src"": ""were"", ""dep"": ""prep"", ""tgt"": ""in"", ""lemma"": ""in""}]"
umm she is a reporter asking a question the senator is acting like a baby is this really what adults act like shame on you cbs shame,1,@USER @USER Umm she is a reporter asking a question. The Senator is acting like a baby. Is this really what adults act like? Shame on you CBS. Shame.,umm she is a reporter asking a question the senator is acting like a baby is this really what adults act like shame on you cbs shame,0,,0,TRUE,is,be,she,shame,,FALSE,0,non_offensive,0,"[{""src"": ""is"", ""dep"": ""intj"", ""tgt"": ""umm"", ""lemma"": ""umm""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""she"", ""lemma"": ""she""}, {""src"": ""reporter"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""is"", ""dep"": ""attr"", ""tgt"": ""reporter"", ""lemma"": ""reporter""}, {""src"": ""reporter"", ""dep"": ""acl"", ""tgt"": ""asking"", ""lemma"": ""ask""}, {""src"": ""question"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""asking"", ""dep"": ""dobj"", ""tgt"": ""question"", ""lemma"": ""question""}, {""src"": ""senator"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""acting"", ""dep"": ""nsubj"", ""tgt"": ""senator"", ""lemma"": ""senator""}, {""src"": ""acting"", ""dep"": ""aux"", ""tgt"": ""is"", ""lemma"": ""be""}, {""src"": ""question"", ""dep"": ""relcl"", ""tgt"": ""acting"", ""lemma"": ""act""}, {""src"": ""is"", ""dep"": ""mark"", ""tgt"": ""like"", ""lemma"": ""like""}, {""src"": ""baby"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""baby"", ""lemma"": ""baby""}, {""src"": ""acting"", ""dep"": ""advcl"", ""tgt"": ""is"", ""lemma"": ""be""}]"
i always found liberals and progressives to be the spartan ones all the socialists i knew wanted to live as well as they could afford,1,@USER I always found liberals and progressives to be the spartan ones. All the socialists I knew wanted to live as well as they could afford,i always found liberals and progressives to be the spartan ones all the socialists i knew wanted to live as well as they could afford,0,,0,TRUE,found,find,i,,well,TRUE,0,non_offensive,0,"[{""src"": ""found"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""found"", ""dep"": ""advmod"", ""tgt"": ""always"", ""lemma"": ""always""}, {""src"": ""be"", ""dep"": ""nsubj"", ""tgt"": ""liberals"", ""lemma"": ""liberal""}, {""src"": ""liberals"", ""dep"": ""cc"", ""tgt"": ""and"", ""lemma"": ""and""}, {""src"": ""liberals"", ""dep"": ""conj"", ""tgt"": ""progressives"", ""lemma"": ""progressive""}, {""src"": ""be"", ""dep"": ""aux"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""found"", ""dep"": ""ccomp"", ""tgt"": ""be"", ""lemma"": ""be""}, {""src"": ""ones"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""ones"", ""dep"": ""amod"", ""tgt"": ""spartan"", ""lemma"": ""spartan""}, {""src"": ""be"", ""dep"": ""attr"", ""tgt"": ""ones"", ""lemma"": ""one""}, {""src"": ""socialists"", ""dep"": ""predet"", ""tgt"": ""all"", ""lemma"": ""all""}, {""src"": ""socialists"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""be"", ""dep"": ""attr"", ""tgt"": ""socialists"", ""lemma"": ""socialist""}, {""src"": ""knew"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""socialists"", ""dep"": ""relcl"", ""tgt"": ""knew"", ""lemma"": ""know""}]"
dont let the msm keep calling it a second referendum as there will be a remain in eu option it is really a peoples vote one problem with options could be just over 1/3 is bigger than just under 2/3 perhaps stages would be better,1,@USER @USER @USER @USER Don’t let the MSM keep calling it a second referendum. As there will be a Remain in EU option it is really a People’s Vote. One problem with 3 options could be just over 1/3 is bigger than just under 2/3. Perhaps 2 stages would be better.,dont let the msm keep calling it a second referendum as there will be a remain in eu option it is really a peoples vote one problem with options could be just over 1/3 is bigger than just under 2/3 perhaps stages would be better,0,,0,TRUE,let,let,,,nt,TRUE,0,non_offensive,0,"[{""src"": ""let"", ""dep"": ""aux"", ""tgt"": ""do"", ""lemma"": ""do""}, {""src"": ""let"", ""dep"": ""neg"", ""tgt"": ""nt"", ""lemma"": ""not""}, {""src"": ""msm"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""keep"", ""dep"": ""nsubj"", ""tgt"": ""msm"", ""lemma"": ""msm""}, {""src"": ""let"", ""dep"": ""ccomp"", ""tgt"": ""keep"", ""lemma"": ""keep""}, {""src"": ""keep"", ""dep"": ""xcomp"", ""tgt"": ""calling"", ""lemma"": ""call""}, {""src"": ""calling"", ""dep"": ""dobj"", ""tgt"": ""it"", ""lemma"": ""it""}, {""src"": ""referendum"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""referendum"", ""dep"": ""amod"", ""tgt"": ""second"", ""lemma"": ""second""}, {""src"": ""calling"", ""dep"": ""oprd"", ""tgt"": ""referendum"", ""lemma"": ""referendum""}, {""src"": ""be"", ""dep"": ""mark"", ""tgt"": ""as"", ""lemma"": ""as""}, {""src"": ""be"", ""dep"": ""expl"", ""tgt"": ""there"", ""lemma"": ""there""}, {""src"": ""be"", ""dep"": ""aux"", ""tgt"": ""will"", ""lemma"": ""will""}, {""src"": ""calling"", ""dep"": ""advcl"", ""tgt"": ""be"", ""lemma"": ""be""}, {""src"": ""remain"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}]"
semi-protected edit request on april the tiny addition i would like to make is that ``alo/ or ``halo/ is also used as an exclamation in conversations and similarly to uses in diferent languages to call attention,1,"`  == Semi-protected edit request on 1 April 2014 ==    The tiny addition I would like to make is that ``alo/ало`` or ``halo/хало`` is also used as an exclamation in conversations and, similarly to uses in diferent languages, to call attention.    `",semi-protected edit request on april the tiny addition i would like to make is that ``alo/ or ``halo/ is also used as an exclamation in conversations and similarly to uses in diferent languages to call attention,0,,0,TRUE,is,be,addition,,,FALSE,0,non_offensive,0,"[{""src"": ""request"", ""dep"": ""amod"", ""tgt"": ""semi"", ""lemma"": ""semi""}, {""src"": ""request"", ""dep"": ""amod"", ""tgt"": ""-"", ""lemma"": ""-""}, {""src"": ""request"", ""dep"": ""amod"", ""tgt"": ""protected"", ""lemma"": ""protect""}, {""src"": ""request"", ""dep"": ""compound"", ""tgt"": ""edit"", ""lemma"": ""edit""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""request"", ""lemma"": ""request""}, {""src"": ""request"", ""dep"": ""prep"", ""tgt"": ""on"", ""lemma"": ""on""}, {""src"": ""on"", ""dep"": ""pobj"", ""tgt"": ""april"", ""lemma"": ""april""}, {""src"": ""addition"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""addition"", ""dep"": ""amod"", ""tgt"": ""tiny"", ""lemma"": ""tiny""}, {""src"": ""is"", ""dep"": ""nsubj"", ""tgt"": ""addition"", ""lemma"": ""addition""}, {""src"": ""like"", ""dep"": ""nsubj"", ""tgt"": ""i"", ""lemma"": ""i""}, {""src"": ""like"", ""dep"": ""aux"", ""tgt"": ""would"", ""lemma"": ""would""}, {""src"": ""addition"", ""dep"": ""relcl"", ""tgt"": ""like"", ""lemma"": ""like""}, {""src"": ""make"", ""dep"": ""aux"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""like"", ""dep"": ""xcomp"", ""tgt"": ""make"", ""lemma"": ""make""}]"
soldier more like antifa scum bag,0,"@USER @USER soldier""   ??    More like antifa scum bag""",soldier more like antifa scum bag,0,,0,TRUE,,,,,,FALSE,0,non_offensive,0,"[{""src"": ""like"", ""dep"": ""advmod"", ""tgt"": ""more"", ""lemma"": ""more""}, {""src"": ""soldier"", ""dep"": ""prep"", ""tgt"": ""like"", ""lemma"": ""like""}, {""src"": ""scum"", ""dep"": ""compound"", ""tgt"": ""antifa"", ""lemma"": ""antifa""}, {""src"": ""bag"", ""dep"": ""compound"", ""tgt"": ""scum"", ""lemma"": ""scum""}, {""src"": ""like"", ""dep"": ""pobj"", ""tgt"": ""bag"", ""lemma"": ""bag""}]"
thank you followed have a great day,1,@USER Thank You ❤Followed ! Have A Great Day 🙏 #MAGA  #💯🇺🇸🇺🇸🇺🇸 URL,thank you followed have a great day,0,,0,TRUE,have,have,thank,day,,FALSE,0,non_offensive,0,"[{""src"": ""have"", ""dep"": ""nsubj"", ""tgt"": ""thank"", ""lemma"": ""thank""}, {""src"": ""thank"", ""dep"": ""dobj"", ""tgt"": ""you"", ""lemma"": ""you""}, {""src"": ""thank"", ""dep"": ""xcomp"", ""tgt"": ""followed"", ""lemma"": ""follow""}, {""src"": ""day"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""day"", ""dep"": ""amod"", ""tgt"": ""great"", ""lemma"": ""great""}, {""src"": ""have"", ""dep"": ""dobj"", ""tgt"": ""day"", ""lemma"": ""day""}]"
hope she serves as a beacon to other liberals who feel the same way.there must be more of them.i hope there's more of them.there must be more with morals and a conscience,0,@USER @USER @USER @USER Hope she serves as a beacon to other Liberals who feel the same way....there must be more of them...I hope there's more of them..there must be more with morals and a conscience,hope she serves as a beacon to other liberals who feel the same way.there must be more of them.i hope there's more of them.there must be more with morals and a conscience,0,,0,TRUE,hope,hope,,,there,TRUE,0,non_offensive,0,"[{""src"": ""serves"", ""dep"": ""nsubj"", ""tgt"": ""she"", ""lemma"": ""she""}, {""src"": ""hope"", ""dep"": ""ccomp"", ""tgt"": ""serves"", ""lemma"": ""serve""}, {""src"": ""serves"", ""dep"": ""prep"", ""tgt"": ""as"", ""lemma"": ""as""}, {""src"": ""beacon"", ""dep"": ""det"", ""tgt"": ""a"", ""lemma"": ""a""}, {""src"": ""as"", ""dep"": ""pobj"", ""tgt"": ""beacon"", ""lemma"": ""beacon""}, {""src"": ""beacon"", ""dep"": ""prep"", ""tgt"": ""to"", ""lemma"": ""to""}, {""src"": ""liberals"", ""dep"": ""amod"", ""tgt"": ""other"", ""lemma"": ""other""}, {""src"": ""to"", ""dep"": ""pobj"", ""tgt"": ""liberals"", ""lemma"": ""liberal""}, {""src"": ""feel"", ""dep"": ""nsubj"", ""tgt"": ""who"", ""lemma"": ""who""}, {""src"": ""liberals"", ""dep"": ""relcl"", ""tgt"": ""feel"", ""lemma"": ""feel""}, {""src"": ""same"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""feel"", ""dep"": ""attr"", ""tgt"": ""same"", ""lemma"": ""same""}, {""src"": ""feel"", ""dep"": ""dep"", ""tgt"": ""way.there"", ""lemma"": ""way.there""}, {""src"": ""be"", ""dep"": ""aux"", ""tgt"": ""must"", ""lemma"": ""must""}, {""src"": ""hope"", ""dep"": ""ccomp"", ""tgt"": ""be"", ""lemma"": ""be""}]"
having all will be superbly long apparently the article has major roads which do not conform to the grid pattern and minor streets with documented history or etymology are listed below listed on it's lead now there's an issue cause that text is the main point of the article so renaming it maybe an issue cheers,1,"`   Having all 3 will be superbly long! Apparently the article has Major roads, which do not conform to the grid pattern and minor streets with documented history or etymology, are listed below. listed on it's lead. Now there's an issue, cause that text is the main point of the article, so renaming it maybe an issue. Cheers,  `",having all will be superbly long apparently the article has major roads which do not conform to the grid pattern and minor streets with documented history or etymology are listed below listed on it's lead now there's an issue cause that text is the main point of the article so renaming it maybe an issue cheers,0,,0,TRUE,'s,be,,cheers,not,TRUE,0,non_offensive,0,"[{""src"": ""be"", ""dep"": ""csubj"", ""tgt"": ""having"", ""lemma"": ""have""}, {""src"": ""having"", ""dep"": ""dobj"", ""tgt"": ""all"", ""lemma"": ""all""}, {""src"": ""be"", ""dep"": ""aux"", ""tgt"": ""will"", ""lemma"": ""will""}, {""src"": ""has"", ""dep"": ""advcl"", ""tgt"": ""be"", ""lemma"": ""be""}, {""src"": ""long"", ""dep"": ""advmod"", ""tgt"": ""superbly"", ""lemma"": ""superbly""}, {""src"": ""be"", ""dep"": ""acomp"", ""tgt"": ""long"", ""lemma"": ""long""}, {""src"": ""has"", ""dep"": ""advmod"", ""tgt"": ""apparently"", ""lemma"": ""apparently""}, {""src"": ""article"", ""dep"": ""det"", ""tgt"": ""the"", ""lemma"": ""the""}, {""src"": ""has"", ""dep"": ""nsubj"", ""tgt"": ""article"", ""lemma"": ""article""}, {""src"": ""'s"", ""dep"": ""ccomp"", ""tgt"": ""has"", ""lemma"": ""have""}, {""src"": ""roads"", ""dep"": ""amod"", ""tgt"": ""major"", ""lemma"": ""major""}, {""src"": ""has"", ""dep"": ""dobj"", ""tgt"": ""roads"", ""lemma"": ""road""}, {""src"": ""conform"", ""dep"": ""nsubj"", ""tgt"": ""which"", ""lemma"": ""which""}, {""src"": ""conform"", ""dep"": ""aux"", ""tgt"": ""do"", ""lemma"": ""do""}, {""src"": ""conform"", ""dep"": ""neg"", ""tgt"": ""not"", ""lemma"": ""not""}]"
