text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation
you have no friends bc nobody wants to be guilty by association,1,You have no friends BC nobody wants to be guilty by association #hoe,you have no friends because nobody wants to be guilty by association hoe,0,,0
virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,0,"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?",virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,0,,0
this season has been a real struggle i want to destroy my chances at winning,0,This season has been a real struggle; I want to destroy my chances at winning.,this season has been a real struggle i want to destroy my chances at winning,0,,0
i'm a crazy bitch fml,1,RT @TheBossUnicorn_: I'm a crazy bitch.. fml,i am a crazy bitch forget my life,0,,0
well ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so,0,@FattyyTooRaw well Ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so.. &#128514;,well ontario is like kind of a dump now that the ghetto moved here since it is cheaper to live here so,0,,0
the stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&,0,RT @BigJonBul: The stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&#8230;,the stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn,0,,0
it's awesome when people you've known for years talk trash about you behind your back and then ask you for favors later truly awesome,0,it's awesome when people you've known for years talk trash about you behind your back and then ask you for favors later. truly awesome.,it is awesome when people you have known for years talk trash about you behind your back and then ask you for favors later truly awesome,0,,0
state like mississippi opposed to minimum wage child labor laws unions is pro-scab sweatshop work pretty much,0,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY.",teabagger state like mississippi opposed to minimum wage child labor laws unions is pro scab sweatshop work pretty much slavery,0,,0
i think im high naaa or she maddd at her toe im diein i can hear her naa damn dawg ol bitch ass toe,1,RT @CallMeRenee_: &#128514;&#128514;&#128514; I think im high naaa or she maddd at her toe im diein &#128557; i can hear her naa .. Damn dawg ol bitch ass toe &#128557;&#128557;,i think i am high naa or she mad at her toe i am dying i can hear her naa damn dawg ol bitch ass toe,2,naaa→na[elongation]; maddd→mad[elongation],1
i treat my bitches with respect,1,I treat my bitches with respect,i treat my bitches with respect,0,,0
ion feel dese nihhas or bitches,1,RT @LilReese300: Ion feel dese nihhas or bitches...#300,i do not feel dese nihhas or bitches three hundred,0,,0
bathing sphere suspended orb tub not for shy people and yet,0,Bathing Sphere: Suspended Orb Tub Not for Shy People http://t.co/OHv7xbr6wo #bathing #design #weird and yet #cool,bathing sphere suspended orb tub not for shy people bathing design weird and yet cool,0,,0
y'all not gonna trash spirit airlines i travel w/ them all the time they even let me fly the plane times they don't mi&,0,RT @TheDiLLon1: Y'all not gonna trash Spirit airlines. I travel w/ them all the time. They even let me fly the plane 4 times. They don't mi&#8230;,you all not going to trash spirit airlines i travel with them all the time they even let me fly the plane four times they do not,0,,0
and i don't have any confidence nonwhatsoever in you barack you're the sole reason why this country is in thi&,0,RT @dsrtvet: @FoxNews @tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230;,and i do not have any confidence nonwhatsoever in you barack you are the sole reason why this country is in,0,,0
coon <fills coffee up halfway> <uses irish cremes to fill other half>,0,coon RT @HumbleTeej: &lt;fills coffee up halfway&gt; &lt;uses 11 Irish cremes to fill other half&gt;,coon fills coffee up halfway uses eleven irish cremes to fill other half,0,,0
these hoes ain't loyal,1,These hoes ain't loyal &#128075;,these hoes is not loyal,0,,0
